ensemble_of,alpha_a,alpha_b,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
gnn_nlp_default+xgb_pairwise,0.0,1.0,1.0016502141952515,1.001126229763031,1.0008757710456848,1.0006563663482666,0.2876284827278715
gnn_nlp_default+xgb_pairwise,0.05,0.95,1.0017349898815155,1.0012039303779603,1.001108592748642,1.0006083726882935,0.30161306768330187
gnn_nlp_default+xgb_pairwise,0.1,0.9,1.001912009716034,1.0013309717178345,1.0011521935462953,1.0005751371383667,0.31609248950806756
gnn_nlp_default+xgb_pairwise,0.15000000000000002,0.85,1.0018553853034973,1.0013393938541413,1.0011900544166565,1.0005879700183868,0.331052049792832
gnn_nlp_default+xgb_pairwise,0.2,0.8,1.0018272519111633,1.0013382971286773,1.0011247754096986,1.0005759596824646,0.3464527761370081
gnn_nlp_default+xgb_pairwise,0.25,0.75,1.0017983615398407,1.0013540387153625,1.0011347711086274,1.0005614757537842,0.36221185040637327
gnn_nlp_default+xgb_pairwise,0.30000000000000004,0.7,1.0017799258232116,1.0013276755809783,1.00116286277771,1.000557279586792,0.3782562844315597
gnn_nlp_default+xgb_pairwise,0.35000000000000003,0.6499999999999999,1.0017799258232116,1.001343196630478,1.001170265674591,1.000539880990982,0.39446024451114736
gnn_nlp_default+xgb_pairwise,0.4,0.6,1.0017799258232116,1.0013365387916564,1.0012135326862335,1.0005567252635956,0.41063642546871726
gnn_nlp_default+xgb_pairwise,0.45,0.55,1.0017683923244476,1.0013327896595001,1.0012164175510407,1.000559639930725,0.4263620944260479
gnn_nlp_default+xgb_pairwise,0.5,0.5,1.0017724692821504,1.001330304145813,1.0012146353721618,1.0005673468112946,0.4412726504957771
gnn_nlp_default+xgb_pairwise,0.55,0.44999999999999996,1.0017724692821504,1.0013235747814178,1.0011730313301086,1.0005694687366486,0.45487241760986574
gnn_nlp_default+xgb_pairwise,0.6000000000000001,0.3999999999999999,1.0018254160881042,1.0013227045536042,1.001165324449539,1.0004807770252229,0.4670886111523595
gnn_nlp_default+xgb_pairwise,0.65,0.35,1.001811045408249,1.0012910068035126,1.0010683834552765,1.000442785024643,0.4777854402174702
gnn_nlp_default+xgb_pairwise,0.7000000000000001,0.29999999999999993,1.001811045408249,1.001293307542801,1.0010818004608155,1.0004523873329163,0.48716473675606203
gnn_nlp_default+xgb_pairwise,0.75,0.25,1.001811045408249,1.001316875219345,1.0010577738285065,1.0004480540752412,0.49563118863433353
gnn_nlp_default+xgb_pairwise,0.8,0.19999999999999996,1.0018881142139435,1.0013089537620545,1.0011094987392426,1.0004515409469605,0.5033746482303046
gnn_nlp_default+xgb_pairwise,0.8500000000000001,0.1499999999999999,1.0018895268440247,1.0012872397899628,1.0010345339775086,1.000474750995636,0.5102028018853938
gnn_nlp_default+xgb_pairwise,0.9,0.09999999999999998,1.0018895268440247,1.001231563091278,1.0010359942913056,1.0004841685295105,0.5159837810495949
gnn_nlp_default+xgb_pairwise,0.9500000000000001,0.04999999999999993,1.0018908083438873,1.0012212157249452,1.0011239111423493,1.000474363565445,0.520178041459293
gnn_nlp_default+xgb_pairwise,1.0,0.0,1.001762706041336,1.0013005614280701,1.0009263575077056,1.0004799962043762,0.5216894765133329
