graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
albert_en_xlarge_batch_size_16_test,1.000221610069275,1.0001001358032227,1.0001001358032227,1.0001001358032227,0.2655578616429815
bert_en_cased_L-12_H-768_A-12_batch_size_16_test,1.001220464706421,1.000901699066162,1.0005501508712769,1.0002957582473755,0.4315344664210284
bert_multi_cased_L-12_H-768_A-12_batch_size_16_train,1.000940203666687,1.000666618347168,1.0003818273544312,1.00034761428833,0.30208918412427455
small_bert_bert_en_uncased_L-10_H-128_A-2_batch_size_32_test,1.004906415939331,1.0018880367279053,1.0018880367279053,1.0013500452041626,0.2581343183171312
small_bert_bert_en_uncased_L-10_H-128_A-2_batch_size_64_train,1.0018519163131714,1.0014489889144897,1.0014489889144897,1.0014489889144897,0.15238686100414972
small_bert_bert_en_uncased_L-10_H-256_A-4_batch_size_32_test,1.0019948482513428,1.0019948482513428,1.0019948482513428,1.0012357234954834,0.27608712833865645
small_bert_bert_en_uncased_L-10_H-256_A-4_batch_size_64_train,1.0015684366226196,1.001354455947876,1.0010560750961304,1.0008465051651,0.2893749834389854
small_bert_bert_en_uncased_L-10_H-512_A-8_batch_size_64_test,1.0023388862609863,1.00133216381073,1.00133216381073,1.0009658336639404,0.36128865411616373
small_bert_bert_en_uncased_L-10_H-768_A-12_batch_size_16_train,1.0007508993148804,1.0005251169204712,1.0005251169204712,1.0003340244293213,0.3119979954398648
small_bert_bert_en_uncased_L-10_H-768_A-12_batch_size_32_test,1.000691533088684,1.000514268875122,1.000514268875122,1.0004385709762573,0.40171371722571797
small_bert_bert_en_uncased_L-12_H-768_A-12_batch_size_64_train,1.0004535913467407,1.0003823041915894,1.000337839126587,1.0002927780151367,0.26765667403594806
small_bert_bert_en_uncased_L-2_H-256_A-4_batch_size_32_train,1.0019899606704712,1.0016169548034668,1.0005849599838257,1.0005849599838257,0.22472300410897764
small_bert_bert_en_uncased_L-4_H-256_A-4_batch_size_32_train,1.0024702548980713,1.0013798475265503,1.0013798475265503,1.0008379220962524,0.23208476983755497
small_bert_bert_en_uncased_L-4_H-512_A-8_batch_size_32_train,1.0017691850662231,1.0012472867965698,1.0009539127349854,1.0005724430084229,0.20830074086471562
small_bert_bert_en_uncased_L-6_H-256_A-4_batch_size_16_train,1.0030922889709473,1.0030922889709473,1.001433253288269,1.0013315677642822,0.24588431037004868
small_bert_bert_en_uncased_L-6_H-256_A-4_batch_size_64_train,1.0014855861663818,1.0012511014938354,1.0009634494781494,1.0005803108215332,0.2533002997286845
small_bert_bert_en_uncased_L-6_H-512_A-8_batch_size_64_test,1.002207636833191,1.001249074935913,1.0009769201278687,1.000773549079895,0.3598175597428896
small_bert_bert_en_uncased_L-6_H-768_A-12_batch_size_16_test,1.0018515586853027,1.0005117654800415,1.0005056858062744,1.000362515449524,0.39908496170784996
small_bert_bert_en_uncased_L-6_H-768_A-12_batch_size_32_train,1.0007768869400024,1.000768780708313,1.000307559967041,1.0002332925796509,0.25235012377221455
talking-heads_large_batch_size_16_train,1.0004221200942993,1.0002988576889038,1.0002803802490234,1.000194787979126,0.2592066074179345
