ensemble_of,alpha_a,alpha_b,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
gnn_nlp_random+xgb_pairwise,0.0,1.0,1.046291983127594,1.016556292772293,1.0116844534873963,1.0051229357719422,0.3511222464394117
gnn_nlp_random+xgb_pairwise,0.05,0.95,1.013578289747238,1.0107445776462556,1.0105184614658356,1.0049306631088257,0.37737849482324753
gnn_nlp_random+xgb_pairwise,0.1,0.9,1.0119796514511108,1.0105884313583373,1.0102591514587402,1.0034894049167633,0.40505380751976566
gnn_nlp_random+xgb_pairwise,0.15000000000000002,0.85,1.0113744616508484,1.0102591514587402,1.0098935902118682,1.0031601250171662,0.433927942683299
gnn_nlp_random+xgb_pairwise,0.2,0.8,1.0111571252346039,1.0099670052528382,1.009728980064392,1.0030528068542481,0.464014505816563
gnn_nlp_random+xgb_pairwise,0.25,0.75,1.0107847094535827,1.0099665820598602,1.0066403329372406,1.0008878648281097,0.49515991484399074
gnn_nlp_random+xgb_pairwise,0.30000000000000004,0.7,1.0107847094535827,1.0092504143714904,1.0066140830516814,1.000821304321289,0.5272769731069331
gnn_nlp_random+xgb_pairwise,0.35000000000000003,0.6499999999999999,1.0108774960041047,1.0092468559741974,1.0052806794643403,1.0007897973060609,0.560267682913232
gnn_nlp_random+xgb_pairwise,0.4,0.6,1.0101558864116669,1.0092468559741974,1.0049967169761658,1.0007851481437684,0.5939883043291244
gnn_nlp_random+xgb_pairwise,0.45,0.55,1.0101558864116669,1.008816921710968,1.004981005191803,1.000784730911255,0.6278831216711646
gnn_nlp_random+xgb_pairwise,0.5,0.5,1.0097179472446443,1.0063661992549897,1.0049161434173584,1.000784730911255,0.661553812843999
gnn_nlp_random+xgb_pairwise,0.55,0.44999999999999996,1.0097179472446443,1.0063661992549897,1.0040922164916992,1.000784730911255,0.6947584806171945
gnn_nlp_random+xgb_pairwise,0.6000000000000001,0.3999999999999999,1.0097303092479706,1.0050612211227417,1.0035828649997711,1.000784730911255,0.7271504248103408
gnn_nlp_random+xgb_pairwise,0.65,0.35,1.009203064441681,1.004528099298477,1.0035324335098266,1.0001598715782165,0.7579976775176367
gnn_nlp_random+xgb_pairwise,0.7000000000000001,0.29999999999999993,1.009203064441681,1.0037484526634217,1.003361713886261,1.0001558840274811,0.787465319314259
gnn_nlp_random+xgb_pairwise,0.75,0.25,1.009203064441681,1.0034120082855225,1.0026030361652374,1.0001558840274811,0.8151244287019848
gnn_nlp_random+xgb_pairwise,0.8,0.19999999999999996,1.0042856693267823,1.0027273297309875,1.0025787651538849,1.0000290095806121,0.8404619634630004
gnn_nlp_random+xgb_pairwise,0.8500000000000001,0.1499999999999999,1.0042856693267823,1.0028785467147827,1.0024579644203186,1.0,0.8624348741017928
gnn_nlp_random+xgb_pairwise,0.9,0.09999999999999998,1.0041969120502472,1.0029324114322662,1.0023951292037965,1.0,0.8797645373602133
gnn_nlp_random+xgb_pairwise,0.9500000000000001,0.04999999999999993,1.0041808784008026,1.0013259053230286,1.0009858012199402,1.0,0.8917732491660668
gnn_nlp_random+xgb_pairwise,1.0,0.0,1.0039962589740754,1.0013754725456239,1.0009975910186768,1.0,0.896490763061198
