graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
albert_en_xlarge_batch_size_16_test,1.0128332376480103,1.0123021602630615,1.0123021602630615,1.0122289657592773,0.5280948950026498
bert_en_cased_L-12_H-768_A-12_batch_size_16_test,1.0012757778167725,1.0012757778167725,1.0012757778167725,1.0005879402160645,0.38361820697649934
bert_multi_cased_L-12_H-768_A-12_batch_size_16_train,1.0006431341171265,1.0006431341171265,1.0006431341171265,1.0006431341171265,0.3569264053262477
small_bert_bert_en_uncased_L-10_H-128_A-2_batch_size_32_test,1.2739475965499878,1.0160239934921265,1.0160239934921265,1.0112956762313843,0.07963742828720538
small_bert_bert_en_uncased_L-10_H-128_A-2_batch_size_64_train,1.0670233964920044,1.0670233964920044,1.0303467512130737,1.0202280282974243,0.05891654591291147
small_bert_bert_en_uncased_L-10_H-256_A-4_batch_size_32_test,1.0085138082504272,1.0085138082504272,1.0072416067123413,1.006764531135559,0.32694597419521676
small_bert_bert_en_uncased_L-10_H-256_A-4_batch_size_64_train,1.001624345779419,1.001624345779419,1.001624345779419,1.0,0.3122100604950837
small_bert_bert_en_uncased_L-10_H-512_A-8_batch_size_64_test,1.039928674697876,1.0390864610671997,1.0029300451278687,1.0007225275039673,0.46947714263002843
small_bert_bert_en_uncased_L-10_H-768_A-12_batch_size_16_train,1.0002779960632324,1.0002779960632324,1.0002779960632324,1.0002779960632324,0.3459117760773868
small_bert_bert_en_uncased_L-10_H-768_A-12_batch_size_32_test,1.0154436826705933,1.0146901607513428,1.0146901607513428,1.0008573532104492,0.5181606793639191
small_bert_bert_en_uncased_L-12_H-768_A-12_batch_size_64_train,1.0000795125961304,1.0000795125961304,1.0000795125961304,1.0000083446502686,0.36297222734616447
small_bert_bert_en_uncased_L-2_H-256_A-4_batch_size_32_train,1.1414716243743896,1.0240658521652222,1.0008212327957153,1.0,0.30939763817182375
small_bert_bert_en_uncased_L-4_H-256_A-4_batch_size_32_train,1.1062660217285156,1.0015133619308472,1.0015133619308472,1.0015133619308472,0.35345889579355466
small_bert_bert_en_uncased_L-4_H-512_A-8_batch_size_32_train,1.1112700700759888,1.0010058879852295,1.0010058879852295,1.0,0.3180970640333871
small_bert_bert_en_uncased_L-6_H-256_A-4_batch_size_16_train,1.0016461610794067,1.0016461610794067,1.0016461610794067,1.0016461610794067,0.344907772023258
small_bert_bert_en_uncased_L-6_H-256_A-4_batch_size_64_train,1.0000576972961426,1.0000576972961426,1.0000576972961426,1.0000576972961426,0.30821390259688525
small_bert_bert_en_uncased_L-6_H-512_A-8_batch_size_64_test,1.0037237405776978,1.0037237405776978,1.0036368370056152,1.0,0.45389572910801795
small_bert_bert_en_uncased_L-6_H-768_A-12_batch_size_16_test,1.012279748916626,1.01003897190094,1.01003897190094,1.0023471117019653,0.41905394777924393
small_bert_bert_en_uncased_L-6_H-768_A-12_batch_size_32_train,1.0001757144927979,1.0001757144927979,1.0001757144927979,1.0001757144927979,0.3420796912201515
talking-heads_large_batch_size_16_train,1.1273577213287354,1.1273577213287354,1.1273577213287354,1.0431041717529297,0.43046875000000007
